object-id,filename,title_full,title,date,conference_dates,description,guest_author,guest_artist,guest_scientist,guest_fan,committee,cover_artist,inside_cover_artist,back_artist,badge_artist,button_artist,creator,guests_of_honor,program_artists,feature_subjects,subject,identifier,location,digital_collection,contributing_institution,rights,standardized_rights,format_original,type,format,language
moscon01-1979_000,MosCon01-1979_000.pdf,"Moscon 1, September 29 & 30, 1979",Moscon 1,1979,September 29-30,"A program book for the first MosCon in 1979. Guests of Honor: Verna Smith Trestrail and Alex Schomburg. Fan Guest of Honor: Jessica Amanda Salmonson. This program includes biographies of Verna Smith Trestrail, Edward E. Smith, Ph.D, Alex Schomburg, and Jessica Amanda Salmonson; appreciations for Clifford D. Simak, L. Sprague de Camp, and Frederik Pohl; and a special tribute entitled ""LARGER THAN LIFE A Memoir in Tribute to Dr. Edward E. Smith"" by Robert A. Heinlein.",Verna Smith Trestrail,Alex Schomburg,,Jessica Amanda Salmonson,Chairman: Steve Fahnestalk; Security: Larry Oakford; Hotel Liaison: Sasha Zemanek; Operations: Mike Finkbiner; Art Show: Jane Fancher; Programming: Charlie Leaphart; Membership: Beth Finkbiner; Movies: Don Qualls; Publicity: Jon Gustafson; Secretary: Bea Taylor; Treasurer: Vickie Mitchell; Hucksters: Charlie Leaphart; Gophers: Tim Cridland; Also: Bill Profit; Matt Cherry; Jerry Eveland; Jeannie Wood; Dean Smith; Nina Hoffman; Debbie Miller; Ruth Vance; Chris Nelson; Dru Daily,Alex Schomburg,,Jane S. Fancher,,,,Verna Smith Trestrail; Alex Schomburg; Jessica Amanda Salmonson,Alex Schomburg; Jane S. Fancher,Verna Smith Trestrail; Edward E. Smith; Alex Schomburg; Jessica Amanda Salmonson; Clifford D. Simak; L. Sprague de Camp; Frederik Pohl; Robert A. Heinlein,science fiction; authors; artists,MosCon01-1979_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon02-1980_000,MosCon02-1980_000.pdf,"Moscon II, September 12 to 14, 1980",Moscon II,1980,September 12-14,"A program book for the second MosCon in 1980. Guests of Honor: Jerry Sohl, George Barr, and Frank Denton. This year's program is respectfully dedicated to E.E. ""Doc""  Smith. Acknowledgements are due to the following people for their help:(In no particular order) Alex Schomburg, George Barr, Jerry Sohl, Jack Gaughan, Bea Taylor, Beth Finkbiner, Victoria Mitchell, Victoria Poyser, Bob Suto, Verna Smith Trestrail, and every one of the people who gave generously of their time and/or talent to help keep MosCon alive and to make it a good con.",Jerry Sohl,George Barr,,Frank Denton,Operations: Mike Finkbiner; Security: Larry Oakford; Films: Jerry Eveland; Hotel: Sasha Zemanek; Music: Alden Hackmann; Art Auction: Jon Gustafson; Chairman: Steve Fahnestalk,George Barr,,Street & Smith Publications and H.R. Van Dongen,,,MosCon,Jerry Sohl; George Barr; Frank Denton,George Barr; Street & Smith Publications and H.R. Van Dongen,,science fiction; authors; artists,MosCon02-1980_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon03-1981_000,MosCon03-1981_000.pdf,"MosCon III, September 25-27, 1981",Moscon III,1981,September 25-27,"A program book for the third MosCon in 1981. Guests of Honor: Kate Wilhelm, Tim Kirk, Suzanne Tompkins, Damon Knight.",Kate Wilhelm; Damon Knight,Tim Kirk,,Suzanne Tompkins,"Chairman: Jon Gustafson; Hotel: Beth Finkbiner, Jon Gustafson; Art Show/Auction: Steve Fahnestalk; Films: Jerry Eveland; Music: Craig Steed; Masquerade: Amy Thomson",Tim Kirk,,Debi D'Amico,,,MosCon,Kate Wilhelm; Damon Knight; Tim Kirk; Suzanne Tompkins,Tim Kirk; Debi D'Amico,,science fiction; authors; artists,MosCon03-1981_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon04-1982_000,MosCon04-1982_000.pdf,"Moscon IV, September 24 - 26, 1982",Moscon IV,1982,September 24-26,"A program book for the fourth Moscon in 1982. Guests of Honor: Marion Zimmer Bradley, Wendy Pini, Steve Forty, and Jane Fancher.",Marion Zimmer Bradley,Wendy Pini; Jane Fancher,,Steve Forty,Chairman: Jon Gustafson; Vice-Chairwoman and Treasurer: Beth Finkbiner; Membership: Charlie Leaphart; Programming: Rod Sprague; Art Show: Vicki Mitchell & Phrannque Sciamanda; Operations: Chris Nilsson; Security & Gofers: Craig Steed; Advertising: Amy Thomson; Publicity: Nina Hoffman; Masquerade: Nina Hoffman & Craig Steed; Dance: Craig Steed & Mike Finkbiner; Dealers: Donna Bailly; Hospitality: Linda Johnston; Films: Jerry Eveland,Wendy Pini,,Jane Fancher,,,PESFA,Marion Zimmer Bradley; Wendy Pini; Jane Fancher; Steve Forty,Wendy Pini; Jane Fancher,,science fiction; authors; artists,MosCon04-1982_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon05-1983_000,MosCon05-1983_000.pdf,"Moscon V, September 23-25, 1983",Moscon V,1983,September 23-25,"A program book for the fifth Moscon in 1983. Guests of Honor: Algis Budrys, Kelly Freas, Georges Giguere, & Bert Van Den Boogaard. This convention is dedicated to E.E. ""Doc"" Smith. We thank everybody who gave their time and energy to make MosCon a success.",Algis Budrys,Frank Kelly Freas,,Georges Giguere; Bert Van Den Boogaard,"Chairman: Beth Finkbiner; Vice-Chairman: Michael Finkbiner; Treasurer: Victoria Mitchell; Membership: William Johns; Programming: John Porter; Dealers & Hotel Liaison: Jon Gustafson; Art Show: Jerry Eveland; Writers' Workshop and Gophers: Lori White; Program Book and General Editing: Nina K. Hoffman and Steve Fahnestalk; Security: David Bennett; Advertising: Donna Bailly and Nina K. Hoffman; Films: Jeff Halbhuber; Trivia: Steve Fahnestalk; Masquerade: Shanna Brown; Dance: Craig Steed; Pre-Con Coordinator: Rod Sprague; Funny Games & Neat Ideas: Amy Thomson; Inspiration and Patron Saint-at-Large: E. E. ""Doc"" Smith; Resident Red Lensman: Verna Smith Trestrail; Special Non-Attending Guest (5 years running!): Robert A. Heinlein; **Smart-Alec Comments Throughout: Steve Fahnestalk, with assistance from NKH",Kelly Freas,Randy Mohr,Kim Strombo,,,PESFA,Algis Budrys; Frank Kelly Freas; Georges Giguere; Bert Van Den Boogaard,Kelly Freas; Randy Mohr; Kim Strombo,,science fiction; authors; artists,MosCon05-1983_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon06-1984_000,MosCon06-1984_000.pdf,"Moscon VI, September 21-23, 1984",Moscon VI,1984,September 21-23,"A program book for the sixth Moscon in 1984. Guests of Honor: F.M. Busby, Alicia Austin, William R. Warren, Stephen L. Gillett. ART CREDITS: Alicia Austin - Front Cover; Jane Fancher - Inside Front Cover, pages 5, 13, 15, 17; William R. Warren - page 4; Dan Willems - page 6; Tom Milliorn - page 7; Nina K. Hoffman - page 1, 9; Vixen - pages 11, 12; Ken Kelly- page 14; Gary Davis - Back Cover.",F.M. Busby,Alicia Austin,Stephen L. Gillett,William R. Warren,"Chairman: Beth Finkbiner; Vice-Chairman: Mike Finkbiner; Treasurer: Victoria Mitchell; Membership Chair: Bill Johns; Membership Assistants Victoria Mitchell, Jackie Duram; Programming Chair: John Porter; Art Show Director: Jerry Eveland; Operations Chair: Chris Nilsson; Dealer's Room: Jon Gustafson; Dances: Jeff Halbhuber; Program Book: Donna Bailly, Jon Gustafson; Hospitality: Linda Johnston; Hospitality Assistant: Patty Alexander; Security Chief: David Bennett; Masquerade: Dan Willems; Writer's Workshop: Victoria Mitchell; Trivia Bowl: Jeff Halbhuber; Hotel Liaison: Jon Gustafson; Video Room: Bob Bezold; Gophers: Julia Mueller; Patron Saint-at-Large: E.E. ""Doc"" Smith; Resident Red Lensman: Verna Smith Trestrail; Admiral, Fannish Armada: Rod Sprague",Alicia Austin,Jane Francher,Gary Davis,,,"Moscow Science Fiction Conventions, Inc.",F.M. Busby; Alicia Austin; Stephen L. Gillett; William R. Warren,Alicia Austin; Jane Francher; Gary Davis,,science fiction; authors; artists,MosCon06-1984_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon07-1985_000,MosCon07-1985_000.pdf,"MosCon VII, September 20-22-1985",MosCon VII,1985,September 20-22,"A program book for the seventh Moscon in 1985. Guests of Honor: John Varley, Rick Sternbach, Richard Wright, Grover Krantz. ART CREDITS: Rick Sternbach - Front Cover; William R. Warren - 5, 8; Gary Davis - 6, 9, 11, 18, 21, 29, Back Cover; Patty Alexander - 8; Wendy Pini - 10, 12; Nina K. Hoffman - 10, 19, 20, 23; John Alvarez - 12, 15, 17; Craig W. Anderson - 16; Randy Mohr - 19.",John Varley,Rick Sternbach,Grover Krantz,Richard Wright,"Chairman: Jon Gustafson; Vice-Chairman: Chris Nilsson; Membership Chair: Jackie Duram; Treasurer: Vicki Mitchell; Programming Chair: David Bennett; Art Show Director: Mark Jones; Operations Chair: Melanie Bennett; Dealers' Rooms Director: Tony Butterfield; Security Chief: John Potter; Gophers Chief: Jean Crawford; Program Book: Donna Bailly; Hospitality: Rod Sprague; Writer's Workshop: Mike Harbour; Masquerade: Mike Winderman; Video Room: Bob Bezold; Trivia Bowl: Marc ""Mad Dog"" Cramer, Mike Harbour; Advertising: Janna Jones; Dances: Mark Jones, Scott Hysmith; Admiral, Fannish Armada: Rod Sprague; Resident Red Lensman: Verna Smith Trestrail; Patron Saint-at-Large: E.E. ""Doc"" Smith",Rick Sternbach,Gary Davis,Gary Davis,,,"Moscow Science Fiction Conventions, Inc.",John Varley; Rick Sternbach; Grover Krantz; Richard Wright,Rick Sternbach; Gary Davis; Gary Davis,,science fiction; authors; artists,MosCon07-1985_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon08-1986_000,MosCon08-1986_000.pdf,"Moscon VIII, September 19-21, 1986",Moscon VIII,1986,September 19-21,"A program book for the eigth Moscon in 1986. Guests of Honor: Dean Ing, Michael Goodwin, Bryce Walden, Dr. Rob Quigley. Art Credits: Michael Goodwin - Front Cover; Randy Mohr - 2, 4, 8, 23, 26; Debi Robinson-Smith - 5, 16; Giovanna Fregni - 6, 12, 28, 32; Jacqualynn Duram Nilsson - 10, 14, 17, 21, Back Cover; William R. Warren - 12; John Alvarez - 20.",Dean Ing,Michael Goodwin,Rob Quigley,Bryce Walden,"Chairman: Chris Nilsson; Vice-Chairman: Vicki Mitchell; Treasurer: Beth Finkbiner; Membership: Jacqualynn Duram Nilsson; Programming: Melanie Taylor Bennett; Art Show: Mark Jones; Operations: John Porter, Dave Bennett; Dealers' Rooms: Tony Butterfield; Security: Jean Crawford; Gophers: Beck Mostafavinassab; Program Book: Jon Gustafson, Jacqualynn Duram; Hospitality: Rod Sprague; Writer's Workshop: Betty Smith; Masquerade: Beck Mostafavinassab; Video Room: Morphia Studio; Trivia Bowl: Lisa Satterlund, Suzanne Creelman; Advertising: Debi Robinson-Smith; Admiral, Fannish Armada: Rod Sprague; Resident Red Lensman: Verna Smith Trestrail; Patron Saint-at-Large: E. E. ""Doc"" Smith",Michael Goodwin,,Jacqualynn Duram Nilsson,,,"Moscow Science Fiction Conventions, Inc.",Dean Ing; Michael Goodwin; Rob Quigley; Bryce Walden,Michael Goodwin; Jacqualynn Duram Nilsson,,science fiction; authors; artists,MosCon08-1986_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon09-1987_000,MosCon09-1987_000.pdf,"MosCon IX, September 18-20, 1987",MosCon IX,1987,September 18-20,"A program book for the ninth Moscon in 1987. Guests of Honor: Jack Williamson, Steve Gallacci, Lorna Toolis, Dr. Julie Lutz. Art Credits: Steve Gallacci - Front Cover; Monika Livingston - Inside Front Cover, Inside Back Cover, pages 6 and 26; Bob Everton - pages 5, 8, 18, and 27; John Alvarez - page 7; Kelly Freas - page 11; William R. Warren, Jr. - page 13.",Jack Williamson,Steve Gallacci,Julie Lutz,Lorna Toolis,"Scapegoat: Mike Finkbiner; Vice-Scapegoat: John Porter; Programming, Program Book, Hotel Liaison: Jon Gustafson; Treasury: Vicki Mitchell; Operations: Bill Johns; Membership and Registration: Jean Crawford; Hospitality, Publicity, The Fannish Armada: Rod Sprague; Dance and Dealers Rooms: Donna Bailly; Art Show and Auction: Debi Robinson-Smith; Advertising: Dave Bennett; Security: Tim Butts; Writers Workshop: Betty Smith; Trivia Quiz: Lisa Satterlund; Masquerade: Beck Mostafavinassab. Special Thanks to: Art Show Flats and Wiring: John Potter. Additional help by: Cynthia Hildesheim; Melanie Bennett; Burt Van Den Boogard; Joe Veccio; Gretchen Johns; Mad Dog; Cleon Dean; Beth Finkbiner; Verna Smith Trestrail (our resident Red Lensman); Edward E. ""Doc"" Smith (our Patron Saint).",Steve Gallacci,Monika Livingston,Monika Livingston,,,"Moscow Science Fiction Conventions, Inc.",Jack Williamson; Steve Gallacci; Julie Lutz; Lorna Toolis,Steve Gallacci; Monika Livingston; Monika Livingston,,science fiction; authors; artists,MosCon09-1987_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon10-1988_000,MosCon10-1988_000.pdf,"MosCon X, Sepember 23-25, 1988",MosCon X,1988,Sepember 23-25,"A special extended program book for the tenth anniversary Moscon in 1988. Guests of Honor: Anne McCaffrey; Lela Dowling; Ken Macklin; Robert L. Forward; Ed and Norma Beauregard. Special thanks to the Telgar Weyr of Spokane, and to all the wonderful volunteers who have made this convention not only possible, but a resounding success. And we would like to thank all the previous committee members of MosCon, without whose tireless efforts this convention would not be nearly as good as it is. Thank you all.",Anne McCaffrey,Lela Dowling; Ken Macklin,Robert L. Forward,Ed Beauregard; Norma Beauregard,"Chairman: Vicki Mitchell; Vice-Chair: Bill Johns; Treasurer: Beth Finkbiner; Programming: Sean (John Porter); Program Book: Jon Gustafson; Operations: Melanie Taylor Bennett; Membership: Jean Crawford; Art Show: Katherine Malsch; Security: Janice Willard; Hospitality: Rod Sprague; Dealers' Rooms: Donna Bailly; Masquerade: Beck Mostafavinassab; Dances: Donna Bailly; Writer's Workshop: Betty Smith; Publicity: Jon Gustafson; Local Publicity: Eileen Draper; Trivia Quiz: Lisa Satterlund; Video Room: Jeff Slack; Japanimation: Joe Veccio; Advertising: Rod Sprague,Jon Gustafson; Hotel Liaison: Jon Gustafson; Fannish Armada: Rod Sprague; Resident Red Lensman: Verna Smith Trestrail; Patron Saint: E.E. ""Doc"" Smith.",Ken Macklin,,Alex Schomburg,,,"Moscow Science Fiction Conventions, Inc.",Anne McCaffrey; Lela Dowling; Ken Macklin; Robert L. Forward; Ed Beauregard; Norma Beauregard,Ken Macklin; Alex Schomburg,,science fiction; authors; artists,MosCon10-1988_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
